# Fila gamedevmap do resto da Europa que trabalha em ingles, colhida em 06/09
# Formato: nome,tipo,cidade,estado,pais,site,status
# So os do tipo Developer e Developer and Publisher. Filtrar por encaixe antes de aprovar.
# Sweden e Denmark ficaram de fora: o gamedevmap devolveu pagina vazia para os dois nesta rodada.
Common Colors,Developer,Langen,Hesse,Germany,https://prim-game.com/,NOVO
Crafting Legends,Developer,Berlin,Berlin,Germany,https://www.craftinglegends.com/,NOVO
Creature Factory,Developer,Bremen,Bremen,Germany,https://www.creature-factory.com,NOVO
Crunchy Leaf Games,Developer and Publisher,Berlin,Berlin,Germany,http://crunchyleafgames.com/,NOVO
Cuddling Raccoons Studio,Developer,Nuremburg,Bayern,Germany,https://paper-animal-rpg.carrd.co/,NOVO
Curio Compass,Developer,Hamburg,Metropolregion Hamburg,Germany,https://curiocompass.carrd.co/,NOVO
Daedalic Entertainment,Developer and Publisher,Hamburg,Metropolregion Hamburg,Germany,https://daedalic.com/,NOVO
Deck13 Interactive,Developer and Publisher,Frankfurt am Main,Hesse,Germany,https://deck13.com/,NOVO
Deck13 Interactive,Developer,Hamburg,Hesse,Germany,https://www.deck13.com,NOVO
Deep Sky Games Coop,Developer,Berlin,Berlin,Germany,https://deepskygames.com/,NOVO
DigiTales,Developer,Saarbrucken,Saarland,Germany,https://digitales.games/,NOVO
Digitalmindsoft,Developer,Ulm,Baden-Wurttemberg,Germany,https://www.digitalmindsoft.eu,NOVO
Dionic Software,Developer,Munich,Bayern,Germany,https://dionicsoftware.com/,NOVO
Distant Blue,Developer,Hamburg,Metropolregion Hamburg,Germany,https://fadingskies.com/,NOVO
4Bit Games,Developer,Lillestrom,Romerike,Norway,https://4bitgames.com/,NOVO
Antagonist,Developer,Oslo,Oslo,Norway,https://antagonist.no/,NOVO
Badger Punch Games,Developer,Holmestrand,Vestfold,Norway,https://www.badgerpunch.com/,NOVO
BitPet,Developer,Oslo,Oslo,Norway,https://www.bitpet.io/,NOVO
Crowhill Studios,Developer,Skudeneshavn,Rogaland,Norway,https://crowhillstudios.itch.io/,NOVO
D-Pad Studio,Developer,Bergen,Hordaland,Norway,http://dpadstudio.com/,NOVO
Encircle Games,Developer,Hamar,Hedmark,Norway,https://www.encirclegames.com,NOVO
Engaged,Developer,Oslo,Oslo,Norway,https://supercloudfight.com/,NOVO
Funcom (Tencent),Developer,Oslo,Oslo,Norway,https://www.funcom.com,NOVO
Henchman and Goon,Developer,Bergen,Hordaland,Norway,https://www.henchmangoon.com,NOVO
High North Studios,Developer,Vestre Jakobselv,Finnmark,Norway,https://www.skaldrpg.com/,NOVO
Hyper Games,Developer,Oslo,Oslo,Norway,https://www.hypergames.no/,NOVO
Inconspicuous Creations,Developer,Trondheim,Sor-Trondelag,Norway,https://www.inconspicuous.no/,NOVO
Misc Games,Developer,Stavanger,Rogaland,Norway,https://www.miscgames.no,NOVO
Perfectly Paranormal,Developer,Elverum,Hedmark,Norway,https://perfectlyparanormal.com,NOVO
Rain Games,Developer,Bergen,Hordaland,Norway,https://rain-games.com/,NOVO
Red Rover Interactive,Developer,Oslo,Oslo,Norway,https://redroverinteractive.com/,NOVO
Red Thread Games,Developer,Oslo,Oslo,Norway,https://redthreadgames.com/,NOVO
Rock Pocket,Developer,Tonsberg,Vestfold,Norway,https://www.rockpocketgames.com,NOVO
Rubarb Studio,Developer,Kolbotn,Akershus,Norway,https://rubarb.no/,NOVO
Sarepta Studio,Developer,Hamar,Hedmark,Norway,https://www.sareptastudio.com,NOVO
Skaar Game Productions,Developer,Ovrebo,Vennesla,Norway,https://eirix.itch.io/,NOVO
Snow Leaf Studios,Developer,Hamar,Hedmark,Norway,https://www.snowleafstudios.com/,NOVO
Snowcastle Games,Developer,Oslo,Oslo,Norway,https://www.snowcastlegames.com,NOVO
Studio Gauntlet,Developer,Trondheim,Sor-Trondelag,Norway,https://studiogauntlet.com/,NOVO
Tooth Games,Developer,Oslo,Oslo,Norway,https://tooth.games/,NOVO
