# FILA DO CANADA, colhida do gamedevmap em 08/09 a pedido do Vini.
# O gamedevmap tinha sido colhido so para EUROPA (347 portas) e OCEANIA. O Canada, que e o pais
# PRIORITARIO da campanha, nunca tinha sido varrido. Sao 487 estudios canadenses no gamedevmap;
# 61 a campanha ja tocou (por nome ou por dominio) e estes 426 nunca foram tocados.
# Colheita: https://www.gamedevmap.com/index.php?country=Canada&start=<1|101|201|301|401>&count=100
# ATENCAO, duas armadilhas medidas na colheita: (1) o PDF do Vini traz o link em http:// e o bridge
# desta maquina responde 'use CONNECT' em http puro, entao TEM que ser https://; (2) o parametro de
# pagina NAO e page=, e start= com count=, senao as cinco paginas devolvem as mesmas 105 linhas.
# O QUE FAZER COM ISTO: e fila do JHON, nao do prospector. O alvo e achar FORMULARIO de candidatura
# (careers, jobs, join-us, work-with-us) e o ATS por tras dele, nao email. Ordem: Vancouver, Montreal,
# Toronto, depois o resto.
# Formato: nome,tipo,cidade,estado,site,status
Haven Studios (Playstation Studios),,Developer,Montreal,https://havenstudios.com/,sem-pagina-de-carreira
Heartloop Games,,Developer,Montreal,https://heartloopgames.com/,sem-pagina-de-carreira
Hibernum Creations,,Developer,Montreal,https://www.hibernum.com/,sem-pagina-de-carreira
Highdive NetEase,,Developer,Montreal,https://highdivegames.com/,sem-pagina-de-carreira
Hololabs,,Developer,Montreal,https://www.hololabs.org/,sem-pagina-de-carreira
Hotloop Games,,Developer,Montreal,https://hotloopgames.com/,sem-pagina-de-carreira
IN|Framez Technology,,Developer,Montreal,https://www.inframez.com/,sem-pagina-de-carreira
Illogika,,Developer,Montreal,https://www.illogika.com/,pagina-sem-ats
Incube8 Games,,Publisher,Montreal,https://incube8games.com/,sem-pagina-de-carreira
Indie Asylum,,Organization,Montreal,https://indieasylum.com/,pagina-sem-ats
Invoke Studios (Wizards of the Coast),,Developer,Montreal,https://invokestudios.com/,pagina-sem-ats
Jellysnow Studio,,Microstudio,Montreal,https://jellysnow.com/,sem-pagina-de-carreira
Jintronix,,Health,Montreal,https://www.jintronix.com/,sem-pagina-de-carreira
Juicy Beast,,Developer,Montreal,https://www.juicybeast.com/,sem-pagina-de-carreira
Kitfox Games,,Developer,Montreal,https://www.kitfoxgames.com/,sem-pagina-de-carreira
Kokoromi,,Developer,Montreal,https://www.kokoromi.org/,sem-pagina-de-carreira
Krafton Montreal Studio,,Developer,Montreal,https://kraftonmontreal.com/,porta:greenhouse
Kutoka,,Developer,Montreal,https://www.kutoka.com/,sem-pagina-de-carreira
La Guilde du jeu video du Quebec,,Organization,Montreal,https://www.laguilde.quebec/,pagina-sem-ats
Lucid Dreams Studio,,Developer,Montreal,https://luciddreamsstudio.com/,sem-pagina-de-carreira
Lucid Tales,,Developer,Montreal,https://www.lucidtales.coop/,pagina-sem-ats
Ludeon Studios,,Developer,Montreal,https://www.ludeon.com/,sem-pagina-de-carreira
