estudio,cidade,provincia,quadro,estado,detalhe,disciplinas
ModelFarm,Brisbane,Australia,https://modelfarm.com.au/,sem-arte,"200, 608 chars",
Modern Storyteller,Melbourne,Australia,https://modern-storyteller.com/careers/,js,"200, corpo de 208 chars",
Monkeystack,Adelaide,Australia,https://monkeystack.com.au/,sem-arte,"200, 1251 chars",
Mountains,Melbourne,Australia,http://mountains.studio/,erro,HTTP Error 403: Forbidden,
MyTona,Auckland,New Zealand,https://mytona.com/career,js,"200, corpo de 353 chars",
NantStudios,Melbourne,Australia,https://nantstudios.com/,sem-arte,"200, 3358 chars",
New Holland Creative,Sydney,Australia,http://www.newhollandcreative.com/,erro,<urlopen error [Errno -2] Name or service not known>,
Ninja Kiwi,Auckland,New Zealand,https://ninjakiwi.com/,sem-arte,"200, 1065 chars",
Noble Steed Games,Sydney,Australia,https://noblesteedgames.com/careers/,sem-arte,"200, 3397 chars",
Normal Wholesome Games,Melbourne,Australia,https://normalwholesomegames.com/,js,"200, corpo de 108 chars",
Nosy Jones,Sydney,Australia,http://www.nosyjones.com/,erro,<urlopen error [Errno -2] Name or service not known>,
Not Doppler,Sydney,Australia,https://studio.notdoppler.com/,sem-arte,"200, 3202 chars",
Now We Collide,Sydney,Australia,https://nowwecollide.com.au/,sem-arte,"200, 3650 chars",
Nyuk Nyuk,Wellington,New Zealand,https://www.nyuknyuk.com/jobs,erro,HTTP Error 404: Not Found,
NZXR,Wellington,New Zealand,https://www.nzxr.dev/careers,sem-arte,"200, 384864 chars",
onebitbeyond,Brisbane,Australia,https://onebitbeyond.com/,erro,<urlopen error Tunnel connection failed: 502 Bad Gateway>,
Opaque Space,Melbourne,Australia,http://www.opaque.media/#home,erro,HTTP Error 403: Forbidden,
Outerdawn,Auckland,New Zealand,https://www.outerdawn.com/careers,sem-arte,"200, 3228 chars",
Pancho,Melbourne,Australia,http://pancho.com.au/jobs/,erro,HTTP Error 403: Forbidden,
Panda Arcade,Melbourne,Australia,https://www.pandaarcade.com/,sem-arte,"200, 1325 chars",
Phonetic Images,Sydney,Australia,https://www.phoneticfilm.com/,sem-arte,"200, 45189 chars",
Pines and Palms,Byron Bay,Australia,https://www.pinesandpalms.tv/we-are-hiring,erro,HTTP Error 404: Not Found,
Playcorp Studios,Melbourne,Australia,https://www.playcorp.com/jobs,js,"200, corpo de 221 chars",
PlaySide,Melbourne,Australia,https://playsidestudios.com/careers,sem-arte,"200, 213906 chars",
Prep Point Studio,Auckland,New Zealand,https://www.preppointstudio.com/careers,sem-arte,"200, 826 chars",
Prideful Sloth,Brisbane,Australia,https://www.pridefulsloth.com/contact-us,js,"202, corpo de 1 chars",
Princess Bento Studio,Melbourne,Australia,https://www.princessbento.com/careers,erro,HTTP Error 404: Not Found,
Prodigious,Sydney,Australia,https://www.prodigious.com/,sem-arte,"200, 5606 chars",
Prosper,Sydney,Australia,http://prospereducation.com/,erro,HTTP Error 403: Forbidden,
RDBK Studios,Melbourne,Australia,https://www.rdbkstudios.com/join-the-team,js,"200, corpo de 323 chars",
Real Serious Games,Brisbane,Australia,http://www.realseriousgames.com/,erro,HTTP Error 403: Forbidden,
Reanimated Digital,,Australia,https://www.reanimateddigital.com/careers,erro,<urlopen error Tunnel connection failed: 502 Bad Gateway>,
Resolution Design,Sydney,Australia,http://www.resolutiondesign.com.au/,erro,HTTP Error 403: Forbidden,
RiffRaff Games,Wellington,New Zealand,https://www.riffraff.games/,sem-arte,"200, 550 chars",
Robot Fights Monster,Melbourne,Australia,https://www.robotfightsmonster.com/,sem-arte,"200, 5915 chars",
Robot House,Sydney,Australia,http://robothouse.com.au/jobs/,erro,HTTP Error 403: Forbidden,
Rotor Studios,Sydney,Australia,http://www.rotorstudios.com/careers/,erro,HTTP Error 403: Forbidden,
Route 59,Melbourne,Australia,http://projectvn.blogspot.com.au/,erro,HTTP Error 403: Forbidden,
Samurai Punk,Melbourne,Australia,https://samuraipunk.com/jobs,erro,HTTP Error 404: Not Found,
Sandbox Productions,Leederville,Australia,https://thesandbox.com.au/,sem-arte,"200, 5466 chars",
Savy Soda,Melbourne,Australia,http://www.savysoda.com/,erro,HTTP Error 403: Forbidden,
Scientific Games,Sydney,Australia,https://www.scientificgames.com/careers/,sem-arte,"200, 4076 chars",
Sedona,Surry Hills,Australia,https://sedona.com.au/,sem-arte,"200, 1373 chars",
Serve Chilled,Brisbane,Australia,https://www.servechilled.tv/,js,"200, corpo de 148 chars",
Siamese,Perth,Australia,https://www.siamese.com.au/,sem-arte,"200, 125824 chars",
SlateVFX,Sydney,Australia,https://www.slatevfx.com/jobs/,erro,HTTP Error 500: Internal Server Error,
Sledgehammer Games,Melbourne,Australia,https://careers.activision.com/,sem-arte,"200, 2258 chars",
SMG Studio,Melbourne,Australia,http://smgstudio.applytojob.com/apply,erro,HTTP Error 403: Forbidden,
SMG Studio,Sydney,Australia,http://smgstudio.applytojob.com/apply,erro,HTTP Error 403: Forbidden,
Soul Machines,Auckland,New Zealand,https://www.soulmachines.com/careers/,sem-arte,"200, 45368 chars",
Space Rock Games,Auckland,New Zealand,https://www.spacerockgames.com/careers,sem-arte,"200, 13538 chars",
Spinifex Group,Sydney,Australia,http://spinifexgroup.com/#/careers,erro,HTTP Error 403: Forbidden,
Spunge Games,Brisbane,Australia,https://spungegames.com/careers/,sem-arte,"200, 1476 chars",
Stage23,Sydney,Australia,http://stage23.com.au/jobs/,erro,HTTP Error 403: Forbidden,
StaplesVR,Auckland,New Zealand,https://www.staplesvr.com/careers,ARTE,200,"3d artist, sculpt"
Starcolt,Wellington,New Zealand,https://starcolt.com/careers/,erro,HTTP Error 403: Forbidden,
Step Change,Sydney,Australia,http://www.hellostepchange.com/join-our-team/,erro,HTTP Error 403: Forbidden,
Studio 3AM,Sydney,Australia,https://studio3.am/,sem-arte,"200, 1920 chars",
Studio Blackbird,Sydney,Australia,https://studioblackbird.com.au/,js,"200, corpo de 90 chars",
Studio Drydock,Melbourne,Australia,https://studiodrydock.com/jobs/,sem-arte,"200, 2068 chars",
Studio Gilay,Sydney,Australia,http://studiogilay.com/,erro,HTTP Error 403: Forbidden,
Studio Hackett,Sydney,Australia,https://studiohackett.com/,sem-arte,"200, 10102 chars",
Studio iO,Melbourne,Australia,https://studio-io.com/,sem-arte,"200, 651 chars",
Studio Local,Auckland,New Zealand,http://studiolocal.tv/,erro,HTTP Error 403: Forbidden,
Studio Moshi,Melbourne,Australia,https://www.studiomoshi.com/,sem-arte,"200, 909 chars",
Studio Pancho,Collingwood,Australia,https://pancho.com.au/jobs/,sem-arte,"200, 355426 chars",
Studio Spud,,Australia,https://www.studiospud.com/,sem-arte,"200, 710 chars",
Studio Orange,Perth,Australia,https://studioorange.tv/,sem-arte,"200, 12063 chars",
Suberashi,Sydney,Australia,http://suberashi.com/,erro,HTTP Error 403: Forbidden,
Suberashi,Auckland,New Zealand,http://suberashi.com/,erro,HTTP Error 403: Forbidden,
Summerfall Studios,Melbourne,Australia,https://www.summerfallstudios.com/careers,sem-arte,"200, 4261 chars",
Supersphera VFX,Melbourne,Australia,https://www.supersphera.com/,sem-arte,"200, 995 chars",
Sweaty Chair,Sydney,Australia,http://www.sweatychair.com/,erro,HTTP Error 403: Forbidden,
Tabcorp,Melbourne,Australia,http://careers.pageuppeople.com/547/cw/en/listing,erro,HTTP Error 403: Forbidden,
tagSpace,Bondi Beach,Australia,https://tagspace.com/,sem-arte,"200, 3508 chars",
Tantalus,Melbourne,Australia,http://www.tantalus.com.au/jobs.html,erro,HTTP Error 403: Forbidden,
The Binary Mill,Brisbane,Australia,http://www.thebinarymill.com/jobs.php,erro,HTTP Error 403: Forbidden,
The Creative Foundry,Sydney,Australia,http://www.thecreativefoundry.com.au/,erro,HTTP Error 403: Forbidden,
The Imagination Collaborative,Sydney,Australia,https://www.theimaginationcollaborative.com/,sem-arte,"200, 29804 chars",
The Orphanage,Brisbane,Australia,https://theorphanage.com.au/careers,erro,<urlopen error [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert,
The Pulse,Sydney,Australia,https://www.experiencethepulse.com/,erro,<urlopen error Tunnel connection failed: 502 Bad Gateway>,
The Solid State,Sydney,Australia,https://thesolidstate.com/jobs/,sem-arte,"200, 696 chars",
The Three Thousands,Melbourne,Australia,https://www.thethreethousands.com/careers,sem-arte,"200, 1635 chars",
Tin Man Games,Melbourne,Australia,http://tinmangames.com.au/blog/,erro,HTTP Error 403: Forbidden,
