id,title,location,type,department,url
214738,Senior 3D Art Lead -  FC Mobile,"Shanghai, China",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Senior-3D-Art-Lead-FC-Mobile/214738
214740,Director Executive Communications,"Redwood City, United States of America",Regular Employee,Marketing,https://jobs.ea.com/en_US/careers/JobDetail/Director-Executive-Communications/214740
214748,Game Security Analyst (Apex Legends),"Vancouver - Great Northern Way, Canada",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Game-Security-Analyst-Apex-Legends/214748
214755,Senior VFX Artist (Apex Legends),"Los Angeles - Chatsworth, United States of America",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Senior-VFX-Artist/214755
214774,Senior Game Designer - Legends (Apex Legends),"Los Angeles - Chatsworth, United States of America",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Game-Designer-Legends-Apex-Legends/214774
214775,Senior Procedural Technical Artist (Apex Legends),"Vancouver - Great Northern Way, Canada",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Procedural-Technical-Artist-Apex-Legends/214775
214777,Senior Technical Artist - EA SPORTS FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Technical-Artist-EA-SPORTS-FC/214777
214788,Software Development Engineer In Test,"Bucharest, Romania",Regular Employee,EA Studios - Quality Verification,https://jobs.ea.com/en_US/careers/JobDetail/Software-Development-Engineer-In-Test/214788
214789,Principal Materials Artist (Apex Legends),"Los Angeles - Chatsworth, United States of America",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Principal-Materials-Artist-Apex-Legends/214789
214794,Senior Live Service / Economy Designer,"Vancouver, Canada",Regular Employee,EA Studios - Full Circle,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Live-Service-Economy-Designer/214794
214812,Assistant Gameplay Producer - EA SPORTS FC™ Online,"Seoul, Korea, Republic of",Regular Employee,EA Studios - Mobile Korea,https://jobs.ea.com/en_US/careers/JobDetail/Gameplay-Producer/214812
214834,Senior QA Specialist - Multiple roles,"Bogota - Salitre, Colombia",Regular Employee,EA Studios - Quality Verification,https://jobs.ea.com/en_US/careers/JobDetail/AQD-QD-Multiple-roles/214834
214839,Game Designer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Game-Designer-EA-SPORTS-FC/214839
214853,Development Manager - Future Opportunity,"Bogota - Salitre, Colombia",Regular Employee,EA Studios - Quality Verification,https://jobs.ea.com/en_US/careers/JobDetail/Development-Manager-Future-Opportunity/214853
214854,Senior Game Product Manager - College Football,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Game-Product-Manager/214854
214858,Senior QA Lead,"Bogota - Salitre, Colombia",Regular Employee,EA Studios - Quality Verification,https://jobs.ea.com/en_US/careers/JobDetail/Senior-QA-Lead/214858
214876,Community Coordinator - German Speaking,"Galway, Ireland",Regular Employee,Fan Growth,https://jobs.ea.com/en_US/careers/JobDetail/Community-Coordinator-German-Speaking/214876
214892,"Senior Manager, Game Product Management - EA Sports FC","Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Lead-Game-Product-Manager-EA-Sports-FC/214892
214919,"Principal Product Manager, AI Platform","Redwood City, United States of America",Regular Employee,CT - Infrastructure & Platform,https://jobs.ea.com/en_US/careers/JobDetail/Principal-Product-Manager-AI-Platform/214919
214925,Creative Lead - EA SPORTS,"Los Angeles - Del Rey, United States of America",Temporary Employee,Marketing,https://jobs.ea.com/en_US/careers/JobDetail/Creative-Lead/214925
214948,"Head of Publishing, Shooters China","Shanghai, China",Regular Employee,Global Publishing - APAC,https://jobs.ea.com/en_US/careers/JobDetail/Head-of-Publishing-Shooters-China/214948
214955,Directeur de la conception de jeu / Game Design Director,"Los Angeles - Del Rey, United States of America",Regular Employee,EA Studios - Ripple Effect,https://jobs.ea.com/en_US/careers/JobDetail/Game-Design-Director/214955
214967,Senior Technical Artist - EA SPORTS™ Technology,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Technical-Artist-EA-SPORTS-Tech/214967
