id,title,location,type,department,url
215381,Development Director (Technical Delivery Manager) - Creative Innovation,"Vancouver, Canada",Regular Employee,CT - Creative Innovation,https://jobs.ea.com/en_US/careers/JobDetail/Development-Director-Manager-Technical-Delivery-Creative-Innovation/215381
215382,Advanced Data Analyst - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Advanced-Analyst/215382
215389,"Senior Publishing Manager, FC Online, SEA (Vietnam)","Singapore, Singapore",Regular Employee,Global Publishing - APAC,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Publishing-Manager-FC-Online-SEA-Vietnam/215389
215403,Animation Director,"Orlando, United States of America",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Animation-Director/215403
215414,"Director, PE Business Partner - AI & UGC","Redwood City, United States of America",Regular Employee,People Experience & Workplaces,https://jobs.ea.com/en_US/careers/JobDetail/Director-PE-Business-Partner/215414
215417,Concepteur.trice de l’expérience II / Experience Designer II,"Montreal, Canada",Regular Employee,EA Studios - Full Circle,https://jobs.ea.com/en_US/careers/JobDetail/Experience-Designer-II/215417
215418,Animateur.trice technique sénior.e / Senior Technical Animator,"Vancouver, Canada",Regular Employee,EA Studios - Full Circle,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Technical-Animator/215418
215422,Gameplay Designer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Gameplay-Designer-EA-SPORTS-FC/215422
215610,Artiste Audio III / Audio Artist III,"Montreal, Canada",Temporary Employee,EA Studios - EA Create,https://jobs.ea.com/en_US/careers/JobDetail/Audio-Artist-III-Battlefield/215610
215611,Physics Engineer,"Stockholm, Sweden",Temporary - with Benefits (EU & Malaysia),EA Studios - DICE Stockholm,https://jobs.ea.com/en_US/careers/JobDetail/Physics-Engineer/215611
215613,Core Software Engineer,"Stockholm, Sweden",Temporary - with Benefits (EU & Malaysia),EA Studios - DICE Stockholm,https://jobs.ea.com/en_US/careers/JobDetail/Core-Software-Engineer/215613
215617,Développeur logiciel senior (interface utilisateur)/ Senior Software Developer (UI) - Battlefield,"Montreal, Canada",Regular Employee,EA Studios - Motive Montreal,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Software-Developer-UI-Battlefield/215617
215618,UI Software Engineer - Scalable Platform,"Stockholm, Sweden",Temporary - with Benefits (EU & Malaysia),EA Studios - DICE Stockholm,https://jobs.ea.com/en_US/careers/JobDetail/UI-Software-Engineer-Scalable-Platform/215618
215623,Artiste technique principal.e / Principal Technical Artist,"Montreal, Canada",Regular Employee,Other,https://jobs.ea.com/en_US/careers/JobDetail/Principal-Technical-Artist/215623
215630,"Senior Director, Creative – EA SPORTS FC","Vancouver, Canada",Regular Employee,Marketing,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Director-Creative/215630
215635,Experience Designer I,"Melbourne, Australia",Temporary Employee,EA Mobile - Firemonkeys,https://jobs.ea.com/en_US/careers/JobDetail/Experience-Designer-I/215635
215637,Development Manager - EA Sports FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Development-Manager/215637
215640,Machine Learning Engineer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Machine-Learning-Engineer-FC/215640
215643,Senior Accountant II,"Hyderabad, India",Regular Employee,Finance,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Accountant-II/215643
215644,Art Director,"Vancouver, Canada",Regular Employee,Maxis,https://jobs.ea.com/en_US/careers/JobDetail/Art-Director/215644
215646,Assistant Producer - EA SPORTS™ FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Assistant-Producer-EA-SPORTS-FC/215646
215647,Security Engineer,"Hyderabad, India",Temporary Employee,CT - Security,https://jobs.ea.com/en_US/careers/JobDetail/Security-Engineer-Contract/215647
215648,Senior Game Designer - The Sims,"Vancouver, Canada",Regular Employee,Maxis,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Game-Designer-The-Sims/215648
215649,Generalist Software Engineer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Game-Modes-Software-Engineer-FC/215649
215653,Product Manager - EA SPORTS Technology (FC),"Guildford, United Kingdom",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Product-Manager/215653
215655,Cinematic Designer - EA SPORTS™ FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Cinematic-Designer-EA-SPORTS-FC/215655
215656,Generalist Software Engineer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Generalist-Software-Engineer-FC/215656
215657,Character Artist - EA Sports FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Character-Artist-EA-Sports-FC/215657
215659,Concept Artist (Wardrobe/Accessories) - EA SPORTS FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Concept-Artist-Characters-EA-SPORTS-FC/215659
215660,Level Artist - EA SPORTS FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Level-Artist-EA-SPORTS-FC/215660
215662,Development Manager - EA Sports FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Development-Manager/215662
215663,Development Manager - EA Sports FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Development-Manager/215663
215666,Character Artist - EA Sports FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Character-Artist-II-EA-Sports-FC/215666
215670,Concept Artist (Environment) - EA SPORTS FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Concept-Artist-Environment-EA-SPORTS-FC/215670
